Temperature,Vibration,Current,RPM,Fault
56.64,3.77,9.74,1432.82,0
41.8,2.69,10.53,1470.73,0
53.43,1.81,6.09,1482.06,0
64.84,2.95,8.85,1454.16,0
103.97,14.99,20.88,1145.0,2
42.21,1.81,5.72,1428.15,0
61.38,1.83,5.5,1360.35,0
61.02,1.58,8.88,1451.78,0
55.64,4.88,8.66,1378.11,0
51.51,4.46,8.83,1407.06,0
46.92,2.0,6.64,1378.91,0
51.31,2.83,9.13,1428.95,0
52.58,4.03,7.74,1399.59,0
51.86,2.17,9.88,1476.68,0
56.4,4.82,11.55,1309.29,1
105.12,13.95,23.22,1167.99,2
40.04,3.92,11.77,1383.64,0
45.75,4.01,11.08,1472.18,0
55.85,1.84,6.05,1371.85,0
43.66,4.02,7.61,1488.1,0
59.68,4.98,12.73,1405.27,1
69.23,5.11,10.89,1424.88,1
51.93,4.74,7.03,1458.92,0
58.62,7.78,9.29,1370.5,1
52.83,3.08,11.8,1448.25,0
50.25,2.87,5.87,1352.62,0
54.9,2.84,7.55,1402.95,0
40.06,2.04,5.61,1497.95,0
60.45,4.74,6.61,1436.88,0
62.87,1.71,9.32,1357.47,0
41.69,4.2,6.64,1431.0,0
48.26,1.92,11.22,1358.24,0
42.29,2.29,9.4,1484.17,0
41.02,4.05,9.49,1494.58,0
51.51,3.55,11.15,1433.38,0
47.43,3.31,8.81,1423.71,0
100.58,9.9,19.97,1106.11,2
45.01,2.97,5.45,1437.3,0
65.83,6.27,13.23,1385.46,1
43.47,1.83,8.88,1487.85,0
48.16,3.19,8.11,1369.26,0
57.27,2.55,11.56,1370.63,0
69.25,5.04,11.36,1295.51,1
82.6,3.33,14.57,1286.41,1
62.86,2.54,10.39,1498.43,0
58.15,4.59,11.21,1466.98,0
70.47,8.57,10.11,1320.85,1
71.5,4.62,14.29,1325.85,1
62.75,5.88,15.94,1396.73,1
40.45,1.86,5.49,1435.56,0
52.36,4.65,7.64,1383.0,0
46.98,1.58,11.59,1368.2,0
45.7,2.04,7.63,1395.61,0
60.76,2.01,6.71,1451.38,0
53.23,2.8,8.45,1394.79,0
54.45,3.92,9.91,1389.49,0
60.45,4.65,6.42,1431.44,0
54.57,2.17,11.95,1460.55,0
103.4,13.8,20.7,1167.33,2
40.69,4.3,6.4,1359.12,0
45.86,1.08,11.16,1494.84,0
68.6,6.98,9.93,1365.49,1
45.47,4.3,6.46,1488.61,0
104.74,9.73,19.51,1128.42,2
82.6,4.62,10.96,1376.72,1
102.42,9.21,22.88,1264.63,2
42.16,3.37,10.31,1378.61,0
50.33,3.64,10.41,1497.89,0
41.29,1.06,9.33,1434.01,0
95.51,10.09,16.49,1282.5,2
57.85,1.21,10.32,1436.46,0
48.36,2.58,8.71,1374.21,0
84.76,6.68,11.71,1295.31,1
84.8,3.52,14.9,1346.39,1
46.83,2.64,9.89,1445.81,0
63.93,2.08,6.94,1446.83,0
43.65,4.75,11.42,1483.12,0
66.24,8.96,13.44,1352.08,1
43.19,1.73,9.99,1350.73,0
96.61,14.87,18.38,1254.67,2
